nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
Auser Marche,anziani,sede regionale,Marche,AN,Ancona,,0712070600,presidente.reg.marche@auser.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Molise,anziani,sede regionale,Molise,CB,Campobasso,,087469747,segreteria@ausermolise.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Piemonte,anziani,sede regionale,Piemonte,TO,Torino,,0117750528,info@auserpiemonte.org,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Puglia,anziani,sede regionale,Puglia,BA,Bari,,0805227584,reg.puglia@auser.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Sardegna,anziani,sede regionale,Sardegna,CA,Cagliari,,070271209,info@auser.sardegna.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Sicilia,anziani,sede regionale,Sicilia,PA,Palermo,,091588423,reg.sicilia@auser.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Toscana,anziani,sede regionale,Toscana,FI,Sesto Fiorentino,Via Pier Paolo Pasolini 105 - 50019,055444281,segreteria@auser.toscana.it,,https://www.ausertoscana.it,,,https://www.ausertoscana.it/contatto-social-201.html,web 2026-08-30,
Auser Trento,anziani,sede regionale,Trentino-Alto Adige,TN,Trento,,0461828504,auserregionaletn@gmail.com,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Veneto,anziani,sede regionale,Veneto,VE,Venezia,,,,,,,,http://www1.auser.it/contattaci/,da_verificare,Sede regionale Veneto: recapiti non trovati in fonte verificata
Casa di Riposo Città di Sondrio,anziani,RSA,Lombardia,SO,Sondrio,Via Don Luigi Guanella 36 - 23100,0342541011,segreteria@rsasondrio.it,,https://www.casadiripososondrio.it,,,https://www.ats-montagna.it/strutture/casa-riposo-citta-sondrio,web 2026-08-30,Fondazione Cura e Salute Città di Sondrio ETS. 155 posti accreditati 142 a contratto
RSA Bernina (Korian),anziani,RSA,Lombardia,SO,Sondrio,Via Nazario Sauro 64 - 23100,0342068700,info.bernina@korian.it,,https://www.korian.it/strutture/rsa-bernina/,,,https://www.korian.it/strutture/rsa-bernina/,web 2026-08-30,Gestore Korian. 120 posti accreditati 51 a contratto
Fondazione Casa di Riposo Città di Tirano,anziani,RSA,Lombardia,SO,Tirano,Via Giovanni Bertacchi 6 - 23037,0342704384,info@rsatirano.it,,https://www.rsatirano.it,,,https://www.ats-montagna.it/strutture/,web 2026-08-30,Infermeria: 0342-701914
RSA Bongioni Lambertenghi (Villa di Tirano),anziani,RSA,Lombardia,SO,Villa di Tirano,,0342795037,gestionale@rsavilladitirano.it,,,,,https://www.ats-montagna.it/strutture/casa-di-riposo-bongioni-lambertenghi-onlus/,web 2026-08-30,76 posti accreditati 51 a contratto
RSA Tomaso Ambrosetti Morbegno,anziani,RSA,Lombardia,SO,Morbegno,Via Pietro Paolo Parravicini 16 - 23017,0342604011,info@ambrosettiparavicini.it,ambrosettiparavicini@pec.it,https://www.ambrosettiparavicini.it,,,https://www.ats-montagna.it/strutture/rsa-tomaso-ambrosetti-morbegno,web 2026-08-30,80 posti accreditati 60 a contratto. Fondazione Ambrosetti Paravicini ONLUS
RSA Paolo Paravicini Morbegno,anziani,RSA,Lombardia,SO,Morbegno,Via E.Morelli 5 - 23017,0342604011,info@ambrosettiparavicini.it,ambrosettiparavicini@pec.it,https://www.ambrosettiparavicini.it,,,https://www.ats-montagna.it/strutture/rsa-paolo-paravicini-morbegno,web 2026-08-30,114 posti accreditati 68 a contratto. Stessa fondazione RSA Ambrosetti
Registro RSA Lombardia (Open Data),anziani,registro pubblico,Lombardia,,,,,,,,,,https://www.dati.lombardia.it/Sanit-/Elenco-Residenze-Sanitarie-Assistenziali-RSA-/jyyh-hybn,web 2026-08-30,Elenco completo RSA lombarde in formato open data. Fonte: Regione Lombardia / ATS. Da usare per scendere su ogni singola struttura
Registro strutture accreditate Lombardia,anziani,registro pubblico,Lombardia,,,,,,,,,,https://www.regione.lombardia.it/wps/portal/istituzionale/HP/DettaglioAT/istituzione/amministrazione-trasparente/strutture-sanitarie-private-accreditate/unita-di-offerta-socio-sanitarie-private-accreditate,web 2026-08-30,Elenco unità d'offerta socio-sanitarie private accreditate. Fonte: Regione Lombardia (D.Lgs. 33/2013 art. 41)
