nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
FISH Friuli-Venezia Giulia,disabilità,delegazione regionale,Friuli-Venezia Giulia,UD,Udine,Via Armando Diaz 60 - 33100,3881995218,segreteria@fishfvg.it,fishfriuliveneziagiulia@pec.fishfvg.it,https://fishets.it/friuli-venezia-giulia/,,,https://fishets.it/friuli-venezia-giulia/,web 2026-08-30,Presidenza: presidenza@fishfvg.it
FISH Liguria,disabilità,delegazione regionale,Liguria,GE,Genova,Via Aurelia 56 - 16167,0103291177,fishliguria@fishonlus.it,,https://fishets.it/liguria/,,,https://fishets.it/liguria/,web 2026-08-30,
FISH Veneto,disabilità,delegazione regionale,Veneto,VR,Verona,Stradone Porta Palio 25 - 37122,3484789429,fishveneto@libero.it,fishveneto@legalmail.it,https://fishets.it/veneto/,,,https://fishets.it/veneto/,web 2026-08-30,Presidenza: fish.venetoets.presidenza@gmail.com
FISH Emilia-Romagna,disabilità,delegazione regionale,Emilia-Romagna,FC,Forlì,c/o Anffas - Via L. Ridolfi 18 - 47122,054327206,fish.emiliaromagna@gmail.com,fish.er@pec.it,https://fishets.it/emilia-romagna/,,,https://fishets.it/emilia-romagna/,web 2026-08-30,Cellulare: 3386393904
FISH Campania,disabilità,delegazione regionale,Campania,CE,Succivo,Via XXIV Maggio - 81030 Casale di Teverolaccio,3717559136,campania@fishonlus.it,,https://fishets.it/campania/,,,https://fishets.it/campania/,web 2026-08-30,
FISH Calabria,disabilità,delegazione regionale,Calabria,CZ,Lamezia Terme,Via Dei Bizantini 95 - 88046,0968463568,calabria@fishonlus.it,,https://fishets.it/calabria/,,,https://fishets.it/calabria/,web 2026-08-30,
FISH Sardegna,disabilità,delegazione regionale,Sardegna,CA,Cagliari,Via Pasquale Tola 30 - 09128,0702044331,posta@fishsardegna.org,,https://fishets.it/sardegna/,,,https://fishets.it/sardegna/,web 2026-08-30,
UICI Consiglio Regionale Lombardia,disabilità,associazione regionale,Lombardia,MI,Milano,Via Mozart 16 - 20122,0276011893,uiclomb@uici.it,uicilombardia@messaggipec.it,https://www.uicilombardia.org,,,https://www.uiciechi.it/organizzazione/regioni/Lombardia.asp,web 2026-08-30,Presidente Silvano Stefanoni. Numero verde 800 682 682
UICI Sondrio,disabilità,sezione provinciale,Lombardia,SO,Sondrio,Via Fiume 24 - 23100,0342216529,uicso@uici.it,,,,, https://www.uiciechi.it/organizzazione/regioni/Lombardia.asp,web 2026-08-30,Presidente Stefania Carnazzola
UICI Bergamo,disabilità,sezione provinciale,Lombardia,BG,Bergamo,Via Diaz 14 - 24128,035249208,uicbg@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Lombardia.asp,web 2026-08-30,Presidente Mapelli Claudio
UICI Brescia,disabilità,sezione provinciale,Lombardia,BS,Brescia,Via Divisione Tridentina 54 - 25124,0302209411,uicbs@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Lombardia.asp,web 2026-08-30,Presidente Stilla Nicola
UICI Como,disabilità,sezione provinciale,Lombardia,CO,Como,Via Raschi 6 - 22100,031570565,uicco@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Lombardia.asp,web 2026-08-30,Presidente La Corte Claudio
UICI Lecco,disabilità,sezione provinciale,Lombardia,LC,Lecco,Corso Matteotti 3/a - 23900,0341284328,uiclc@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Lombardia.asp,web 2026-08-30,Presidente Paola Vassena
UICI Milano,disabilità,sezione provinciale,Lombardia,MI,Milano,Via Mozart 16 - 20122,02783000,uicmi@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Lombardia.asp,web 2026-08-30,Presidente Piovani Alberto
UICI Piemonte,disabilità,associazione regionale,Piemonte,TO,Torino,Corso V. Emanuele II 63 - 10128,0115627870,uicpiem@uici.it,,,https://www.uicpiemonte.it,,,https://www.uiciechi.it/organizzazione/regioni/Piemonte.asp,web 2026-08-30,Presidente Franco Lepore
UICI Veneto,disabilità,associazione regionale,Veneto,PD,Padova,Via L. Braille 3 int. 2 - 35143,0498710698,uicvene@uici.it,veneto@pec.uiciveneto.it,https://www.uiciveneto.it,,,https://www.uiciveneto.it/,web 2026-08-30,
UICI Toscana,disabilità,associazione regionale,Toscana,FI,Firenze,Via L. Fibonacci 5 - 50131,055580523,uictosc@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Toscana.asp,web 2026-08-30,Presidente Diodati Massimo
UICI Lazio,disabilità,associazione regionale,Lazio,RM,Roma,Via Collalto Sabino 14/b - 00199,0655135033,uiclazio@uici.it,uiclazio@pec.it,https://www.uiclazio.it,,,https://www.uiciechi.it/organizzazione/regioni/Lazio.asp,web 2026-08-30,Presidente Cola Claudio
UICI Emilia-Romagna,disabilità,associazione regionale,Emilia-Romagna,BO,Bologna,Via dell'Oro 1,051580102,uicemro@uiciechi.it,,,,,https://www.uiciechi.it/organizzazione/regioni/emiliaromagna.asp,web 2026-08-30,Presidente Stefano Tortini
UICI Abruzzo,disabilità,associazione regionale,Abruzzo,PE,Pescara,Via Palermo 8,0852122798,uicabru@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Abruzzo.asp,web 2026-08-30,Presidente Americo Montanaro
UICI Puglia,disabilità,associazione regionale,Puglia,BA,Bari,Via Pellegrini 37,0805424341,uicpugl@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Puglia.asp,web 2026-08-30,Presidente Paolo Lacorte
UICI Calabria,disabilità,associazione regionale,Calabria,RC,Reggio Calabria,Via Sbarre Inf. Trav. IX 33,0965598181,uiccala@uici.it,,,,,https://www.uiciechi.it/organizzazione/regioni/Calabria.asp,web 2026-08-30,Presidente Pietro Testa
UICI Liguria,disabilità,associazione regionale,Liguria,GE,Genova,,0100993174,uicligu@uici.it,,https://www.uiciliguria.it,,,https://www.uiciliguria.it/contatti/,web 2026-08-30,
Anffas Lombardia,disabilità,associazione regionale,Lombardia,MI,Milano,,0238603870,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale Anffas per la Lombardia. Tel. 02/38603870
Anffas Sondrio,disabilità,associazione,Lombardia,SO,Sondrio,Largo Sindelfingen 16 - 23100,0342510977,segreteria@anffassondrio.it,,https://www.anffassondrio.it,Anffas Sondrio,,https://www.anffas.net/it/strutture/anffas-sondrio-ets-aps/,web 2026-08-30,Copre tutta la provincia di Sondrio (Valtellina e Valchiavenna). PEC: segreteria@pec.anffassondrio.it
Anffas Como,disabilità,associazione,Lombardia,CO,Como,Via Cesare Battisti 8,031266148,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Bergamo,disabilità,associazione,Lombardia,BG,Bergamo,Via Casalino 27,035243609,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Brescia,disabilità,associazione,Lombardia,BS,Brescia,Via Michelangelo 405,0302319071,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Centro Lario e Valli,disabilità,associazione,Lombardia,CO,Como,Via Cascinello Rosso 11,034430704,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Lecco,disabilità,associazione,Lombardia,LC,Lecco,Via Legnano 6,3284821017,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Mantova,disabilità,associazione,Lombardia,MN,Mantova,Via Ilaria Alpi 12,0376360515,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Pavia,disabilità,associazione,Lombardia,PV,Pavia,Via L. Spallanzani 11,0382539438,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Piemonte,disabilità,associazione regionale,Piemonte,TO,Torino,,0113810723,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale Anffas per il Piemonte
Anffas Veneto - Padova,disabilità,associazione,Veneto,PD,Padova,Via Due Palazzi 41,0498901188,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Veneto - Venezia (Mestre),disabilità,associazione,Veneto,VE,Venezia,Via Cima d'Asta 8,041616438,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Toscana,disabilità,associazione regionale,Toscana,MS,Carrara,,0585841444,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale Anffas per la Toscana. Stessa sede Anffas Massa Carrara
Anffas Firenze,disabilità,associazione,Toscana,FI,Firenze,Via Bolognese 232,055400151,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Sicilia,disabilità,associazione regionale,Sicilia,PA,Palermo,Via Imperatore Federico 76,0916262214,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale coincidente con Anffas Palermo
Anffas Sardegna,disabilità,associazione regionale,Sardegna,CA,Cagliari,Via Stanislao Caboni 3,070669083,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Liguria,disabilità,associazione regionale,Liguria,GE,Rapallo,,0185289478,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale Liguria. Sede a Rapallo
Anffas Marche,disabilità,associazione regionale,Marche,MC,Macerata,,073336170,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale Marche
Anffas Abruzzo,disabilità,associazione regionale,Abruzzo,PE,Pescara,,0852195136,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale coincidente con Anffas Pescara
Anffas Puglia,disabilità,associazione regionale,Puglia,TA,Ginosa,,3358314641,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale Puglia
Anffas Lazio,disabilità,associazione regionale,Lazio,RM,Roma,,063611524,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Organismo regionale coincidente con sede nazionale
Anffas Genova,disabilità,associazione,Liguria,GE,Genova,Via della Libertà 6,0105762511,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Roma,disabilità,associazione,Lazio,RM,Roma,Via Aurelia Antica 269,06635263,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Campobasso,disabilità,associazione,Molise,CB,Campobasso,,3335740069,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Ferrara,disabilità,associazione,Emilia-Romagna,FE,Ferrara,Via Canapa 10/12,0532681629,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Parma,disabilità,associazione,Emilia-Romagna,PR,Parma,Via Rudolf Jacobs 14,0521261393,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Modena,disabilità,associazione,Emilia-Romagna,MO,Modena,Via Canaletto Sud 88,059216977,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Reggio Calabria,disabilità,associazione,Calabria,RC,Reggio Calabria,Via Sbarre Superiori,,,,, ,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,Tel 0965/1891074
Anffas Catania,disabilità,associazione,Sicilia,CT,Catania,Via Policastro 76,095382001,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
Anffas Palermo,disabilità,associazione,Sicilia,PA,Palermo,Via Imperatore Federico 76,0916262214,,,,,,,https://www.anffas.net/it/chi-siamo/dove-siamo/,web 2026-08-30,
UILDM Sondrio,disabilità,sezione,Lombardia,SO,Sondrio,Via Gavazzeni 54 - 23100,3385020285,uildm.sondrio@gmail.com,,https://sondrio.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Milano,disabilità,sezione,Lombardia,MI,Milano,Via Lampedusa 11/1 - 20141,0236684950,segreteria@uildmmilano.it,,https://milano.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Brescia,disabilità,sezione,Lombardia,BS,Brescia,Via Corfù 55,0302423538,uildmbrescia@gmail.com,,https://brescia.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Como,disabilità,sezione,Lombardia,CO,Como,Via Maiocchi 4,031542940,segreteria@uildmcomo.org,,,,, https://uildm.org/sezioni/,web 2026-08-30,
UILDM Bergamo,disabilità,sezione,Lombardia,BG,Bergamo,Via Leonardo da Vinci 9,035343315,presidenza@distrofia.net,,,,, https://uildm.org/sezioni/,web 2026-08-30,
UILDM Lecco,disabilità,sezione,Lombardia,LC,Lecco,Via della Pace 10,0341603164,,,https://lecco.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Varese,disabilità,sezione,Lombardia,VA,Varese,Vicolo Cadorna 24,0331615833,sezione@uildm-varese.it,,https://varese.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Monza,disabilità,sezione,Lombardia,MB,Monza,Via della Guerrina 60,0392847241,uildm@uildmmonza.it,,https://monza.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Torino,disabilità,sezione,Piemonte,TO,Torino,Via Cimabue 2 - 10137,0117770034,uildmtorino@uildmtorino.org,,https://www.uildmtorino.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Roma/Lazio,disabilità,sezione,Lazio,RM,Roma,Via P. Santacroce 5,066604881,presidenza@uildmlazio.org,,https://uildmlazio.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Bologna,disabilità,sezione,Emilia-Romagna,BO,Bologna,Via S. Leonardo 24-28,051266013,info@uildmbo.org,,https://www.uildmbo.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Padova,disabilità,sezione,Veneto,PD,Padova,c/o Ospedale dei Colli - Via dei Colli 4,049624885,uildm.pd@gmail.com,,https://padova.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Venezia,disabilità,sezione,Veneto,VE,Venezia,Santa Croce - Fondamenta Tolentini 180/a,041935778,uildmve@uildmve.it,,https://uildmve.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Verona,disabilità,sezione,Veneto,VR,Verona,Via Aeroporto Berardi 51,0458101650,uildmverona.areasociale@gmail.com,,https://verona.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Firenze,disabilità,sezione,Toscana,FI,Firenze,Via San Jacopo al Girone 6/a,055690970,uildmfirenze@hotmail.com,,https://firenze.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Genova,disabilità,sezione,Liguria,GE,Genova,Via delle Brigate Partigiane 14/2,0105955405,info@uildmge.it,,https://uildmge.it,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Napoli,disabilità,sezione,Campania,NA,Napoli,Via Volpicelli - Arzano,0817313628,uildm.napoli@libero.it,,,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Salerno,disabilità,sezione,Campania,SA,Salerno,Via G. Negri 5,0892582245,uildm@retesolidale.it,,,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Bari,disabilità,sezione,Puglia,BA,Bari,Via Gimma 198/202,0805241893,uildm.bari@tiscali.it,,,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Catania,disabilità,sezione,Sicilia,CT,Catania,Via E. Bellia 340,095852008,uildm.catania@tiscali.it,,https://uildmct.it,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Palermo,disabilità,sezione,Sicilia,PA,Palermo,Piazza dei Quartieri 6,0916885422,uildmpalermo@libero.it,,,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Udine,disabilità,sezione,Friuli-Venezia Giulia,UD,Udine,Via Diaz 60,0432510261,segreteria@uildmudine.org,,https://udine.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Sassari,disabilità,sezione,Sardegna,SS,Sassari,Via Pozzomaggiore 14,0796048197,uildmsassari@tiscali.it,,https://sassari.uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Bolzano,disabilità,sezione,Trentino-Alto Adige,BZ,Bolzano,Via Bari 16/a,0471920909,uildm.bz@gmail.com,,https://uildmbz.it,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Pescara,disabilità,sezione,Abruzzo,PE,Pescara,Via Pietro Nenni 5,08552207,uildmpe@hotmail.com,,,,,https://uildm.org/sezioni/,web 2026-08-30,
ANMIC Sondrio,disabilità,sezione provinciale,Lombardia,SO,Sondrio,Via Delle Prese 7 - 23100,0342514387,anmic.sondrio@novanet.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Milano,disabilità,sezione provinciale,Lombardia,MI,Milano,Via G. Boltraffio 7,0266809607,info@anmicmilano.org,,https://www.anmicmilano.org,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Bergamo,disabilità,sezione provinciale,Lombardia,BG,Bergamo,Via Autostrada 3,035315339,info@anmicbergamo.org,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Brescia,disabilità,sezione provinciale,Lombardia,BS,Brescia,Via Solferino 44/a,030444000,anmicbs@alice.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Como,disabilità,sezione provinciale,Lombardia,CO,Como,Via Natta 16,031266134,info@anmic-como.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Torino,disabilità,sezione provinciale,Piemonte,TO,Torino,Via Campana 15,0116689877,anmic@anmic-torino.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Roma,disabilità,sezione provinciale,Lazio,RM,Roma,Piazza Bologna 10,0644232997,anmicst@inwind.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Genova,disabilità,sezione provinciale,Liguria,GE,Genova,Corso Torino 8 R,0100986584,info@anmicgenova.org,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Firenze,disabilità,sezione provinciale,Toscana,FI,Firenze,Via Dosio 18,055308169,anmic.fi@virgilio.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Bologna,disabilità,sezione provinciale,Emilia-Romagna,BO,Bologna,Via Riva di Reno 75,051260997,anmicbo@libero.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Napoli,disabilità,sezione provinciale,Campania,NA,Napoli,Piazza D.D.Abruzzi 96,0815537073,anmicnapoli@libero.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Bari,disabilità,sezione provinciale,Puglia,BA,Bari,Via Vico Capurso 2/15,0802369459,info@anmicbari.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Palermo,disabilità,sezione provinciale,Sicilia,PA,Palermo,Via Sciuti 85/R,091302927,anmicpa@tiscali.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Catania,disabilità,sezione provinciale,Sicilia,CT,Catania,Via Pietro Garofalo 5,095448428,anmic.catania@live.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Cagliari,disabilità,sezione provinciale,Sardegna,CA,Cagliari,Via Caprera 14-A,070653865,info@anmic-cagliari.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Trento,disabilità,sezione provinciale,Trentino-Alto Adige,TN,Trento,Via Benevoli 22,0461911469,info@anmic-tn.org,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Bolzano,disabilità,sezione provinciale,Trentino-Alto Adige,BZ,Bolzano,Via Dante 20/B,0471270700,info@anmic.bz,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Trieste,disabilità,sezione provinciale,Friuli-Venezia Giulia,TS,Trieste,Via Massimo d'Azeglio 22/a,0402339229,,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare. Email non disponibile nella fonte
ANMIC Udine,disabilità,sezione provinciale,Friuli-Venezia Giulia,UD,Udine,Via Planis 127/A,0432510220,anmic.udine@anmicudine.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Lecco,disabilità,sezione provinciale,Lombardia,LC,Lecco,Via Salvatore Sassi 12,0341367503,anmic_lecco@libero.it,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
ANMIC Varese,disabilità,sezione provinciale,Lombardia,VA,Varese,Via Rainoldi 5,0332236049,info@anmic-varese.info,,,,,https://www.anmic24.com/sedi-provinciali-anmic/,web 2026-08-30,Dati aggiornati al 14.10.2021 — da verificare
Sol.Co. Sondrio,disabilità,consorzio cooperative sociali,Lombardia,SO,Sondrio,Viale Milano 41/A - 23100,0342213355,segreteria@solcosondrio.it,,https://www.solcosondrio.it,sol.co.sondrio,solco_sondrio,https://www.solcosondrio.it/contatti,web 2026-08-30,Consorzio di cooperative sociali della provincia di Sondrio. Attivo dal 1988. Aree: welfare disabilità lavoro educazione
Cooperativa Sociale Grandangolo,disabilità,cooperativa sociale,Lombardia,SO,Sondrio,Via Giuliani 20 - 23100,0342214033,info@grandangolo.coop,,https://grandangolo.coop,,,https://grandangolo.coop/,web 2026-08-30,Sede anche a Morbegno: Via R.L. Montalcini 25/27. Gestisce centro socio-educativo I PRATI (Cosio Valtellino) e Centro Riabilitativo Autismo. P.IVA 00523750149
Dappertutto OdV (Valtellinaccessibile),disabilità,associazione,Lombardia,SO,Sondrio,,,,,https://www.dappertutto.org,,,https://www.dappertutto.org/valtellinaccessibile,web 2026-08-30,Promuove accessibilità in Valtellina. Progetto Valtellinaccessibile
AISM Milano,disabilità,sezione provinciale,Lombardia,MI,Milano,Via Duccio di Boninsegna 21/23 - 20145,0248955429,aismmilano@aism.it,,https://www.aism.it,,,https://www.aism.it/struttura/sezione-provinciale-aism-milano/contattaci,web 2026-08-30,
AISM Rimini,disabilità,sezione provinciale,Emilia-Romagna,RN,Riccione,Viale Abruzzi 46 - 47838,0541690940,aismrimini@aism.it,,https://www.aism.it,,,https://www.aism.it/,web 2026-08-30,
