nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
Cooperativa Sociale San Michele Tirano,cooperativa,cooperativa sociale,Lombardia,Sondrio,Tirano,Piazza Basilica 15,0342 704334,info@coopsanmichele.com,,https://www.coopsanmichele.com,,,https://www.coopsanmichele.com/disabilita-e-salute-mentale/rsd-tirano.html,web 2026-08-30,Gestisce RSD Tirano + CDD Tirano + CSE Valdisotto + poliambulatorio riabilitativo
Forme Impresa Sociale - Cooperativa Sociale Sondrio,cooperativa,cooperativa sociale,Lombardia,Sondrio,Sondrio,Via Meriggio 4,0342 211251,info@formecoop.it,,https://www.formecoop.org,https://www.facebook.com/cooperativasocialeforme3596,https://www.instagram.com/cooperativasocialeforme3596,https://www.formecoop.org/chi-siamo,web 2026-08-30,Gestisce RSA Baita Serena Valfurva + servizi disabilità. Sedi operative anche a Tirano e Valfurva
Cooperativa Sociale Grandangolo Sondrio,cooperativa,cooperativa sociale,Lombardia,Sondrio,Sondrio,Via Giuliani 20,0342 214033,info@grandangolo.coop,,https://grandangolo.coop,https://www.facebook.com/GrandangoloCooperativaSociale,,https://grandangolo.coop/,web 2026-08-30,CSE "I Prati" a Cosio Valtellino. Sede Morbegno: Via R.L. Montalcini 25/27 tel 0342 614587. Centro riabilitativo autismo
ASST Valtellina e Alto Lario,ente pubblico,azienda socio-sanitaria,Lombardia,Sondrio,Sondrio,Via Stelvio 25,0342 521111,,protocollo@pec.asst-val.it,https://www.asst-val.it,https://www.facebook.com/asstValtLario/,,https://www.asst-val.it/,web 2026-08-30,Ente gestore di CPA e CRA. URP: urp@asst-val.it
LEDHA - Lega per i Diritti delle Persone con Disabilità (sede regionale),associazione,federazione,Lombardia,Milano,Milano,Via Livigno 2,026570425,lombardia@fishonlus.it,,https://www.ledha.it,,https://www.instagram.com/ledha_diritti/,https://fishets.it/lombardia/ + Google Search,web 2026-08-30,Fax 026570426. Delegazione regionale FISH Lombardia. Aperto lun-ven 9-13
LEDHA Milano,associazione,federazione,Lombardia,Milano,Milano,,02 6570425,info@ledhamilano.it,,https://ledhamilano.it,https://www.facebook.com/LedhaMilano/,,https://ledhamilano.it/chi-siamo/,web 2026-08-30,Coordinamento territoriale LEDHA per Città Metropolitana di Milano
LEDHA Como,associazione,federazione,Lombardia,Como,Como,"Via Castellini 19",,,ledha.como@ledha.it,,,,https://www.facebook.com/ledhacomo/,https://www.ledha.it + Google Search,web 2026-08-30,Coordinamento territoriale LEDHA Como
LEDHA Lodi,associazione,federazione,Lombardia,Lodi,Lodi,,338 6114276,manfredia343@gmail.com,,,,,,https://www.ledha.it + ricerca web,web 2026-08-30,Coordinamento territoriale LEDHA Lodi
LEDHA Monza e Brianza,associazione,federazione,Lombardia,Monza e Brianza,Monza,,331 1009160,ledhamb@tim.it,,,,,,https://www.ledha.it + ricerca web,web 2026-08-30,Coordinamento territoriale LEDHA MB
LEDHA Pavia,associazione,federazione,Lombardia,Pavia,Pavia,,0382 461534,ledhapavia@gmail.com,,,,,,https://www.ledha.it + ricerca web,web 2026-08-30,Coordinamento territoriale LEDHA Pavia
LEDHA Varese,associazione,federazione,Lombardia,Varese,Varese,"Via Brambilla 15 c/o Cesvov",347 2727479,segreteria@varese.ledha.it,,https://varese.ledha.it,,,https://varese.ledha.it/page.asp?menu1=5,web 2026-08-30,Tel. alternativo 329 7337277
ANFFAS Lombardia,associazione,federazione,Lombardia,Milano,Milano,Via B. Rucellai 36,02 38603870,,,,,,https://www.anffaslombardia.it/,web 2026-08-30,Coordinamento regionale 29 associazioni locali. Orari: lun-ven 9-12
ANFFAS Milano APS,associazione,associazione,Lombardia,Milano,Milano,Via Ulisse Dini 7/A,0249372656,anffas@anffasmilano.it,,https://www.anffasmilano.it,,,https://www.anffasmilano.it/contatti/,web 2026-08-30,Sede operativa: Via Carlo Bazzi 68 tel 02 844045211
ANFFAS Bergamo ETS-APS,associazione,associazione,Lombardia,Bergamo,Bergamo,Del Casalino 27,035 243609,info@anffas.bg.it,,https://www.anffas.bg.it,,,https://www.anffas.bg.it/ + Google Search,web 2026-08-30,Email alt: anffas.bergamo@tiscali.it
ANFFAS Brescia ETS APS,associazione,associazione,Lombardia,Brescia,Brescia,Via Michelangelo 405,030 2319071,info@anffasbrescia.it,,https://anffasbrescia.it,https://www.facebook.com/share/1CjghsjunW/,https://www.instagram.com/fobapanffas,https://anffasbrescia.it/,web 2026-08-30,
ANFFAS Como,associazione,associazione,Lombardia,Como,Como,Via Sirtori Giuseppe 5,031 266148,segreteria@anffascomo.it,,http://www.anffascomo.it,,,https://www.paginebianche.it + Google Search,web 2026-08-30,
ANFFAS Lecco ONLUS,associazione,associazione,Lombardia,Lecco,Lecco,Via Legnano 6,3665337223,anffaslecco@libero.it,,,,,,https://www.anffas.net/it/strutture/lecco-anffas-onlus/ + Google Search,web 2026-08-30,PEC: anffaslecco@pec.it. CF 92041720134
ANFFAS Varese,associazione,associazione,Lombardia,Varese,Varese,,0332 326574,info@anffasvarese.it,,https://www.anffasvarese.it,https://it-it.facebook.com/anffasonlusvarese/,,https://www.anffasvarese.it/chi-siamo/,web 2026-08-30,
ANFFAS Mantova,associazione,associazione,Lombardia,Mantova,Mantova,Via Ilaria Alpi 12,0376 360515,anffas@anffasmantova.it,,https://www.anffasmantova.it,,,https://www.anffasmantova.it/ + Google Search,web 2026-08-30,
ANFFAS Pavia ETS-APS,associazione,associazione,Lombardia,Pavia,Pavia,Via Spallanzani 11,0382 539438,segreteria@anffaspavia.org,,https://www.anffaspavia.org,,,https://www.anffaspavia.org/ + Google Search,web 2026-08-30,
ANFFAS Cremona (Paolo Morbi),associazione,associazione,Lombardia,Cremona,Cremona,Via Gioconda 5,0372 26612,segreteria@paolomorbianffas.it,,,,,,https://www.anffas.net + Google Search,web 2026-08-30,
ANFFAS Brianza,associazione,associazione,Lombardia,Monza e Brianza,Seregno,Via Comina 21,0362 234373,anffas_seregno@libero.it,,,,,,https://www.csvlombardia.it + Google Search,web 2026-08-30,Fax 0362 222046. Sito: www.anffasbrianza.it (da verificare attivazione)
AISM Milano - Associazione Italiana Sclerosi Multipla,associazione,associazione,Lombardia,Milano,Milano,"Via Privata Duccio di Buoninsegna 21/23",02-48955429,aismmilano@aism.it,,https://www.aism.it/milano,,,https://ledhamilano.it/associazioni/,web 2026-08-30,
AIAS Milano - Associazione Italiana Assistenza Spastici,associazione,associazione,Lombardia,Milano,Milano,Via Paolo Mantegazza 10,"02 33020230, 02 33020257",assistentieducatori@aiasmilano.it,,https://www.aiasmilano.it,,,https://ledhamilano.it/associazioni/ + Google Search,web 2026-08-30,Sede operativa: Via Jannozzi 42 San Donato Milanese tel 02-518141. Fax 0236694252
UILDM Milano - Unione Italiana Lotta alla Distrofia Muscolare,associazione,associazione,Lombardia,Milano,Milano,Via Lampedusa 11/a,02-36684950,segreteria@uildmmilano.it,,https://www.uildmmilano.it,,,https://ledhamilano.it/associazioni/,web 2026-08-30,
Vivi Down Onlus Milano,associazione,associazione,Lombardia,Milano,Milano,Viale Jenner 54,02-805623,,,,,,https://ledhamilano.it/associazioni/,web 2026-08-30,Email: segreteria@vividown.org. Sito: www.vividown.org
AGPD Milano - Associazione Genitori Persone con Sindrome di Down,associazione,associazione,Lombardia,Milano,Milano,Viale Piceno 60,02-76105,segreteria@agpd.it,,https://www.agpd.it,,,https://ledhamilano.it/associazioni/,web 2026-08-30,
Fondazione Durante Noi Milano,fondazione,associazione,Lombardia,Milano,Milano,Via Caldera 111,375 5624040,info@durantenoi.it,,https://www.durantenoi.it,,,https://ledhamilano.it/associazioni/,web 2026-08-30,
L'abilita Onlus Milano,associazione,associazione,Lombardia,Milano,Milano,Via Pastrengo 16/18,02-66805457,info@labilita.org,,https://www.labilita.org,,,https://ledhamilano.it/associazioni/,web 2026-08-30,
ANMIC Sondrio,associazione,associazione,Lombardia,Sondrio,Sondrio,Via Delle Prese 7,0342 514387,,,,,,http://www.anmicsondrio.it + Google Search,web 2026-08-30,Fax 0342 517082
ANMIC Bergamo,associazione,associazione,Lombardia,Bergamo,Bergamo,Via Autostrada 3,035 315339,,,,,,,https://www.anmicbergamo.org/ + Google Search,web 2026-08-30,Fax 035 4247540
CDD Centro Diurno Disabili Albino - La Fenice,struttura,centro diurno,Lombardia,Bergamo,Albino,Viale Aldo Moro 2/15,035/745542,amministrazione@lafenicecoop.org,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 22
CDD Perani Albino,struttura,centro diurno,Lombardia,Bergamo,Albino,Via San Benedetto 15/A,035/752876,chimeracoop@inwind.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 10
CDD Centro Diurno Disabili Agro Almenno San Bartolomeo,struttura,centro diurno,Lombardia,Bergamo,Almenno San Bartolomeo,Via Don Minzoni 6,035/540488,segreteria@cooplavorareinsieme.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Bonsai Bergamo,struttura,centro diurno,Lombardia,Bergamo,Bergamo,Via Scais Pizzo 1/C,035/233554,segreteria@cooplavorareinsieme.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Centro Diurno Disabili Bergamo Comune,struttura,centro diurno,Lombardia,Bergamo,Bergamo,Via Pizzo della Presolana 7,035/399382,centrodiurnodisabili@comune.bg.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 33. Ente gestore: Comune di Bergamo
CDD Koinonia Progetto Autismo Bergamo,struttura,centro diurno,Lombardia,Bergamo,Bergamo,Via del Conventino 9,035/4598251,fondazioneangelocustode@curia.bergamo.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 20
CDD La Libellula Bonate Sotto,struttura,centro diurno,Lombardia,Bergamo,Bonate Sotto,Via Giuseppe Mazzini 15,035/995106,segreteria@cooplavorareinsieme.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Il Girasole Calcio,struttura,centro diurno,Lombardia,Bergamo,Calcio,Via Vezzoli 6,0363/928130,info@cooperativaitaca.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD La Gabbianella Caravaggio,struttura,centro diurno,Lombardia,Bergamo,Caravaggio,Via Einaudi 48/C,0363/52533,segreteria@consorzioribes.com,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Conti Calepio Castelli Calepio,struttura,centro diurno,Lombardia,Bergamo,Castelli Calepio,Via Giacomo Leopardi SNC,035/4425692,amministrazione@fondazioneconticalepio.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 20
CDD Fior di Cristallo Dalmine,struttura,centro diurno,Lombardia,Bergamo,Dalmine,Via Cinquantenario SNC,035/566025,servizisociali@comune.dalmine.bg.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD La Nostra Famiglia Endine Gaiano,struttura,centro diurno,Lombardia,Bergamo,Endine Gaiano,Via Don Giovanni Fogaroli 2,035/825205,endine@lanostrafamiglia.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 10
CDD Percorsi Paralleli Fiorano al Serio,struttura,centro diurno,Lombardia,Bergamo,Fiorano al Serio,Via della Volta 2/4,035/516612,info@sanmartinocoop.com,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 20
CDD Centro Diurno Disabili Nembro,struttura,centro diurno,Lombardia,Bergamo,Nembro,Via Kennedy 2,035/523477,amministrazione@lafenicecoop.org,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Centro Diurno Disabili Pedrengo,struttura,centro diurno,Lombardia,Bergamo,Pedrengo,Via Gian Battista Moroni 6,035/657351,info@cooperativaprogettazione.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 14
CDD L'Ippocastano Piario,struttura,centro diurno,Lombardia,Bergamo,Piario,Via Papa Giovanni XXIII SNC,0346/23949,ambito@comune.clusone.bg.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Papa Giovanni XXIII Seriate,struttura,centro diurno,Lombardia,Bergamo,Seriate,Via Cassinone 96,035/299272,info@serenacoop.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Centro Diurno Disabili Sovere,struttura,centro diurno,Lombardia,Bergamo,Sovere,Via Canneto 12,035/19966576,info@cmlaghi.bg.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 20
CDD Arcobaleno Spirano,struttura,centro diurno,Lombardia,Bergamo,Spirano,Via Papa Giovanni XXIII 9,035/876044,info@cooperativaitaca.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD Zelinda Trescore Balneario,struttura,centro diurno,Lombardia,Bergamo,Trescore Balneario,Via Fratelli Calvi SNC,035/944904,info@consorzioservizi.valcavallina.bg.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
CDD La Rosa dei Venti Verdellino,struttura,centro diurno,Lombardia,Bergamo,Verdellino,Via Oleandri 23,035/4820747,info@cooperativaitaca.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 25
CDD Fuori dal Cerchio Vilminore di Scalve,struttura,centro diurno,Lombardia,Bergamo,Vilminore di Scalve,Via Polini 7,0346/51677,info@cmscalve.bg.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 12
CDD Centro Diurno Disabili Zogno,struttura,centro diurno,Lombardia,Bergamo,Zogno,Piazza XI Febbraio 9,0345/91512,segreteria@cooplavorareinsieme.it,,,,,https://www.ats-bg.it/centri-diurni-disabili-cdd-provincia-bergamo,web 2026-08-30,Posti: 30
RSD Habilita Albino Bergamo,struttura,residenza disabili,Lombardia,Bergamo,Albino,Via Selvino 8,035/7756311,infoalbino@habilita.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 48
RSD Fondazione Giovanni Carlo Rota Almenno San Salvatore,struttura,residenza disabili,Lombardia,Bergamo,Almenno San Salvatore,Via Repubblica 1,035/6320011,amministrazione@fondazionerota.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 21
RSD Michael Bergamo - Fondazione Angelo Custode,struttura,residenza disabili,Lombardia,Bergamo,Bergamo,Via Conventino 9,035/4598243,fondazioneangelocustode@curia.bergamo.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 20
RSD Casa Amoris Laetitia Bergamo,struttura,residenza disabili,Lombardia,Bergamo,Bergamo,Via Conventino 9,035/4598275,fondazioneangelocustode@curia.bergamo.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 10
RSD Monsignor Bernareggi Bonate Sotto,struttura,residenza disabili,Lombardia,Bergamo,Bonate Sotto,Via Giuseppe Garibaldi 15,035/994793,segreteria@cooplavorareinsieme.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 25
RSD Conti Calepio Castelli Calepio,struttura,residenza disabili,Lombardia,Bergamo,Castelli Calepio,Vicolo Giacomo Leopardi SNC,035/4425692,amministrazione@fondazioneconticalepio.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 25
RSD Casa Alpini Endine Gaiano,struttura,residenza disabili,Lombardia,Bergamo,Endine Gaiano,Via della Repubblica 14,035/825205,endine@lanostrafamiglia.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 13
RSD Istituto Palazzolo Grumello del Monte,struttura,residenza disabili,Lombardia,Bergamo,Grumello del Monte,Piazza Camozzi 15,035/830038,direzione.grumello@istitutopalazzolo.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 121
RSD Beato Papa Giovanni XXIII Piario,struttura,residenza disabili,Lombardia,Bergamo,Piario,Via Beato Papa Giovanni XXIII SNC,0346/27003,segreteria@cooplavorareinsieme.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 36
RSD GCA Serina,struttura,residenza disabili,Lombardia,Bergamo,Serina,Viale Europa 20,035/657351,info@cooperativaprogettazione.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 15. RSD per Gravi Cerebrolesioni Acquisite
RSD Casa Beato Luigi Guanella Verdello,struttura,residenza disabili,Lombardia,Bergamo,Verdello,Via Don Giovanni Giavazzi 13,035/871006,segreteria@casadonguanellaverdello.it,,,,,https://www.ats-bg.it/residenze-sanitarie-disabili-rsd-provincia-bergamo,web 2026-08-30,Posti: 87
AUSER Valtellina e Valchiavenna ODV-APS,associazione,associazione anziani,Lombardia,Sondrio,Sondrio,Via Torelli 3,0342 541346,silviapizz@hotmail.it,,,,,https://www.auser.lombardia.it/sondrio + Google Search,web 2026-08-30,Riferimento anziani e fragilita in Valtellina
AUSER Volontariato Sondrio ODV,associazione,associazione anziani,Lombardia,Sondrio,Sondrio,Via Perego 1,351 3502302,ausersondrio1@gmail.com,,,,,https://www.aziendit.com/aziende/auser-sondrio + Google Search,web 2026-08-30,Orari: lun-ven 10-12. Email provinciale: provinciale.sondrio@auser.lombardia.it
AUSER Lombardia (sede regionale),associazione,federazione,Lombardia,Milano,Milano,Via dei Transiti 21,02/26113524,segreteria@auser.lombardia.it,,https://www.auser.lombardia.it,,,https://www.auser.lombardia.it/reg/17-contatti,web 2026-08-30,
CSV Lavops Sondrio - Centro Servizi per il Volontariato,ente,centro servizi,Lombardia,Sondrio,Sondrio,Via Lungo Mallero Diaz 14,,,,,,,,https://www.csvlombardia.it/sondrio/,da_verificare,Ospita sede FAD Sondrio. CSV provinciale. Tel da verificare
